Case #1:
398 L
6932 L
2531 L
4535 L
1297 R
899 L
7890 L
9382 R
4654 L
1116 L
8876 R
3388 L
5507 L
4990 L
7288 L
4031 R
2477 R
4229 L
3518 L
2052 R
798 R
2194 L
2294 L
6558 L
6238 R
7221 L
7407 R
485 L
9327 L
8323 R
4127 R
2368 L
1830 R
3951 R
8059 R
7391 L
5031 L
6617 R
7215 L
3085 L
7674 L
Fell off
Fell off
830 R
6028 R
Fell off
1931 L
Fell off
1492 R
9385 R
6291 L
4695 R
1646 R
3679 L
885 L
3785 R
8038 L
4329 R
7342 L
808 L
2745 L
9251 L
6888 L
4950 R
5021 L
6812 R
7707 L
4760 L
1984 L
3395 R
6525 R
6873 R
474 L
5836 R
31 L
4769 L
3604 R
3304 R
1526 R
6103 L
7168 R
423 L
2084 L
3132 L
7806 L
5279 L
3228 L
3351 R
2161 L
671 L
Fell off
5887 R
9945 R
569 Turning
6372 R
7567 L
6143 R
6111 R
991 R
8630 L
6009 R
8494 R
1582 L
1118 L
6795 L
6159 R
4732 R
Fell off
2895 L
494 L
699 L
5446 L
8311 R
Fell off
4534 R
1944 Turning
9840 R
Fell off
4237 L
2254 R
2720 L
8209 R
4135 R
4172 R
1345 L
5132 R
5699 R
5414 R
Fell off
4678 L
Fell off
1514 L
2672 L
5843 R
8760 R
4039 R
569 Turning
5454 R
7942 L
8376 R
8142 L
4532 R
2204 R
8163 R
8509 R
1732 R
7763 Turning
8041 L
3621 L
1779 L
Fell off
Fell off
5892 R
7790 R
4141 L
9594 R
7714 L
6047 L
5611 L
7956 L
3597 L
4586 L
8349 L
Fell off
6844 R
Fell off
7227 Turning
3301 R
4226 L
8915 R
Fell off
9787 R
3016 R
4244 R
5061 R
6085 L
9210 L
1509 L
8093 L
4810 L
4344 R
8671 L
7793 L
Fell off
3515 L
9665 R
9958 R
2403 R
6516 L
5625 L
3799 L
1736 R
3798 R
7905 R
5195 L
6927 R
6395 L
1426 L
6878 L
4638 R
3890 R
2114 R
3183 L
3282 L
793 R
5130 L
5241 R
6001 R
547 R
3859 R
5131 L
Fell off
4877 L
Fell off
2331 R
2260 Turning
5306 R
3623 L
4387 L
7985 Turning
609 L
9316 L
3062 L
5771 L
6568 R
6204 L
841 L
907 R
3866 L
3811 L
641 R
8455 R
6886 R
1839 L
7837 L
5816 L
9022 L
6702 R
2517 L
6541 L
5410 R
3134 L
6943 R
8121 R
4173 L
4783 L
8051 R
7179 L
336 L
7573 L
Fell off
7832 R
3838 R
4281 R
7852 R
5331 R
4576 R
8513 R
4342 R
8428 R
4166 L
1233 R
3133 R
1505 L
2750 R
9893 R
6225 R
3477 R
1522 L
7282 R
3954 R
2165 L
1624 R
804 L
6470 L
4400 L
9154 R
2820 R
3510 R
5211 R
8453 R
5980 L
5273 L
8758 L
7625 R
5409 L
4326 Turning
9425 R
9703 R
3299 R
9789 R
Fell off
9437 L
3389 R
3775 L
6171 R
2440 R
9224 L
8266 Turning
8402 L
7164 R
497 L
6228 R
1074 R
5220 R
1392 R
1611 R
3348 R
5480 L
8969 R
7256 L
Fell off
5421 R
7660 L
6781 R
2561 R
953 R
4084 R
5229 L
8233 R
8526 L
8203 R
8433 L
Fell off
545 L
6490 L
7774 L
7461 R
7144 R
526 R
9060 L
7153 R
8344 R
2573 L
7691 R
5138 L
6453 R
7239 Turning
2120 R
4736 R
7924 R
Fell off
347 L
3266 R
6922 L
3036 R
1752 L
2831 R
2243 L
1213 L
9997 R
5567 L
6455 R
2912 L
8001 R
9081 R
6962 R
8742 L
8296 L
6950 L
8560 R
1416 R
8934 L
Fell off
4386 L
1979 R
9052 L
6161 R
2902 L
2000 R
7514 R
842 R
730 R
1168 R
3123 L
Fell off
9120 L
1248 R
708 L
1763 L
1198 L
6747 L
9001 R
1817 L
8355 R
1719 L
3926 L
7969 R
5433 R
4925 R
5034 R
7667 L
414 L
3769 R
8274 R
8748 R
7175 R
9128 L
578 L
5602 L
3480 Turning
5854 R
5513 R
3923 L
9881 R
6543 R
6923 L
5393 R
3862 L
3116 R
4299 L
8307 L
5964 L
8489 R
6417 R
2469 L
5632 R
2883 L
8125 R
5425 R
710 R
6843 R
2559 L
2970 R
8474 R
9174 L
Fell off
4757 R
520 R
6106 R
5397 L
7745 R
4879 R
8841 R
3179 R
7992 L
3324 R
4640 L
1746 R
7050 R
1537 Turning
2065 L
2438 R
538 R
4120 R
9403 R
6069 R
6831 R
8329 L
Fell off
3855 R
8702 L
5333 R
4445 L
4026 R
2259 L
Fell off
Fell off
3795 R
882 L
2967 L
5126 L
9077 R
4275 R
1939 L
7038 R
9812 R
9427 R
7331 L
2652 R
6498 L
8542 R
1084 L
6819 L
1640 L
8064 R
2092 L
4558 R
3035 R
3716 L
8486 L
3434 R
2309 L
6650 R
4997 R
7202 R
765 R
4010 R
1675 R
8136 R
9234 R
150 L
5271 L
8248 L
4741 L
4030 L
4798 R
9209 R
5043 L
1537 Turning
7468 Turning
4796 L
1366 R
8857 L
3566 R
7916 L
8350 R
8829 L
4890 R
8260 L
1524 L
2913 R
9445 R
4089 R
5365 L
9269 L
Fell off
670 L
7834 R
6982 R
839 R
3522 L
1739 L
3157 R
9959 R
Fell off
8115 R
8569 L
4303 R
7415 R
2781 R
4840 R
3244 R
1961 L
833 L
1749 Turning
5532 R
Fell off
1788 L
3269 L
6232 R
1544 R
7392 R
3487 L
861 L
1965 L
3201 L
799 R
1885 L
7053 R
5488 L
3526 L
4397 R
4259 L
Fell off
4280 L
224 L
1091 R
9961 R
5358 R
2203 R
9595 R
5744 L
8590 R
4465 L
8479 R
1394 R
647 R
4714 L
758 R
918 L
533 L
1696 L
8224 R
8867 R
2200 L
9593 R
3238 L
6552 R
6145 R
9146 R
1211 L
5036 Turning
7981 L
Fell off
3275 R
Fell off
1963 Turning
2443 R
6579 R
577 R
9519 R
7010 R
3272 L
7889 L
1218 L
4723 R
9159 R
6872 L
8396 L
4322 L
5928 R
8399 L
158 L
8559 L
3594 R
1591 L
1194 L
9613 R
7515 R
9254 Turning
619 L
2296 R
1313 L
3692 R
1057 L
7227 Turning
5575 L
8448 R
3894 L
8289 L
3367 L
6328 R
Fell off
9045 L
2365 R
5090 L
4643 R
6240 R
5631 L
432 L
4800 R
5461 R
3989 R
8545 R
4940 R
7032 R
1749 Turning
4181 R
5366 R
3772 R
1944 Turning
8120 R
7355 R
5076 L
8861 R
7088 R
559 L
2260 Turning
5815 L
7398 R
4326 Turning
7207 L
1134 R
9325 L
5384 L
6059 L
3841 L
7709 L
7433 L
Fell off
8077 R
7590 R
66 L
Fell off
4852 L
Fell off
4298 L
541 R
1717 L
9598 R
Fell off
9510 R
3976 R
1963 Turning
7373 L
6540 R
8389 L
9079 R
3574 L
7964 R
1268 L
3516 L
8953 R
7616 L
5036 Turning
8192 L
7043 L
8266 Turning
720 Turning
7240 R
1128 L
4366 R
2476 R
8755 R
4721 L
7975 L
4612 L
9321 R
5377 R
1190 R
3090 R
847 L
7468 Turning
2213 L
9819 R
Fell off
7856 R
8776 R
1513 L
2894 L
9916 R
6287 L
7495 R
527 R
382 L
7704 L
5209 R
7819 L
3287 L
2713 L
4195 L
5957 L
258 L
7827 R
4128 L
1230 L
4147 L
1448 L
8309 R
7040 L
3383 R
3489 R
2539 R
Fell off
5484 R
Fell off
5240 R
1934 R
3156 L
Fell off
2393 L
4320 R
7333 R

